ID_Venta;ID_Estacion_Origen;ID_Estacion_Destino;Forma_Pago;Importe;ID_Pasajero;ID_Servicio
137;891;1048;Tarjeta Credito 1 Pago;15000;1518;1
138;287;703;Tarjeta Credito 1 Pago;60000;1949;3
139;528;130;Tarjeta Credito 1 Pago;15000;614;2
140;976;759;Efectivo;15000;1635;3
141;175;76;Tarjeta Debito;40000;853;4
142;405;1006;Tarjeta Credito 1 Pago;25000;144;1
143;884;1391;Efectivo;75000;390;4
144;1397;999;Tarjeta Credito 1 Pago;15000;669;3
145;855;65;Tarjeta Credito 1 Pago;25000;1496;2
146;1404;435;Tarjeta Debito;25000;1697;3
147;827;913;Tarjeta Debito;75000;125;2
148;905;417;Tarjeta Debito;25000;258;3
149;547;928;Tarjeta Credito 6 Pagos;75000;1013;4
150;1250;1267;Tarjeta Credito 1 Pago;40000;1039;1
151;303;1053;Tarjeta Debito;25000;1677;4
152;1296;464;Tarjeta Credito 6 Pagos;25000;1739;3
153;936;1054;Tarjeta Credito 1 Pago;25000;230;2
154;15;767;Tarjeta Credito 6 Pagos;15000;1893;3
155;748;1375;Tarjeta Credito 12 Pagos;15000;179;2
156;831;128;Tarjeta Debito;15000;19;3
157;811;1250;Tarjeta Credito 1 Pago;15000;1027;1
158;1011;805;Tarjeta Debito;15000;999;3
159;1030;755;Tarjeta Credito 1 Pago;15000;185;2
160;468;1091;Tarjeta Credito 1 Pago;15000;1986;2
161;921;929;Tarjeta Debito;25000;320;5
162;598;1261;Tarjeta Credito 1 Pago;15000;1420;2
163;1282;1171;Tarjeta Credito 6 Pagos;25000;1652;1
164;1264;1425;Tarjeta Credito 1 Pago;75000;1167;1
165;722;339;Tarjeta Credito 6 Pagos;60000;1008;2
166;392;107;Efectivo;60000;12;5
167;996;564;Tarjeta Credito 1 Pago;40000;643;5
168;453;561;Efectivo;60000;1953;2
169;761;1084;Tarjeta Credito 1 Pago;75000;1010;5
170;35;817;Tarjeta Credito 12 Pagos;40000;83;5
171;292;448;Tarjeta Credito 1 Pago;75000;84;3
172;1215;1015;Tarjeta Debito;15000;418;3
173;208;1058;Efectivo;75000;1109;1
174;755;1091;Tarjeta Debito;15000;613;4
175;1080;6;Tarjeta Credito 6 Pagos;75000;928;5
176;1112;560;Tarjeta Debito;40000;458;3
177;372;552;Tarjeta Credito 12 Pagos;60000;437;4
178;600;552;Tarjeta Credito 6 Pagos;40000;933;1
179;894;1001;Tarjeta Credito 12 Pagos;25000;337;2
180;919;254;Tarjeta Credito 6 Pagos;75000;1397;4
181;578;1269;Tarjeta Credito 1 Pago;25000;1083;3
182;222;1342;Efectivo;40000;94;2
183;810;710;Tarjeta Credito 6 Pagos;75000;36;5
184;319;752;Efectivo;25000;1839;1
185;1097;279;Tarjeta Credito 1 Pago;40000;396;4
186;824;309;Tarjeta Credito 6 Pagos;60000;1917;3
187;1130;251;Tarjeta Credito 6 Pagos;25000;381;2
188;740;58;Tarjeta Credito 12 Pagos;25000;478;2
189;433;390;Tarjeta Credito 12 Pagos;40000;1261;4
190;512;27;Efectivo;40000;940;3
191;173;1382;Tarjeta Debito;25000;256;1
192;398;1362;Tarjeta Credito 1 Pago;25000;270;1
193;896;266;Efectivo;25000;1038;5
194;1313;708;Tarjeta Debito;40000;357;5
195;994;547;Tarjeta Credito 6 Pagos;15000;1126;4
196;353;1301;Tarjeta Credito 6 Pagos;15000;1402;3
197;128;1008;Tarjeta Credito 6 Pagos;15000;395;2
198;1281;1147;Efectivo;75000;152;4
199;1006;250;Tarjeta Credito 12 Pagos;15000;1362;5
200;499;398;Efectivo;25000;315;4
201;276;366;Tarjeta Credito 12 Pagos;25000;850;4
202;740;188;Tarjeta Credito 1 Pago;75000;409;3
203;262;123;Tarjeta Credito 1 Pago;40000;1376;2
204;803;24;Tarjeta Credito 12 Pagos;25000;447;4
205;491;1088;Tarjeta Debito;75000;999;4
206;261;160;Tarjeta Credito 1 Pago;15000;1878;3
207;868;1092;Tarjeta Debito;75000;773;5
208;488;975;Tarjeta Debito;15000;716;1
209;1006;424;Tarjeta Credito 1 Pago;75000;827;5
210;1018;665;Efectivo;25000;596;1
211;989;1114;Tarjeta Credito 12 Pagos;40000;1524;2
212;345;1312;Tarjeta Debito;75000;447;2
213;612;1340;Tarjeta Debito;25000;177;5
214;797;796;Tarjeta Debito;60000;965;4
215;734;889;Tarjeta Credito 1 Pago;25000;436;5
216;1290;271;Tarjeta Credito 1 Pago;75000;1853;3
217;47;291;Tarjeta Credito 6 Pagos;40000;1751;5
218;558;373;Tarjeta Credito 12 Pagos;75000;959;1
219;1023;1339;Tarjeta Credito 6 Pagos;15000;514;3
220;135;431;Tarjeta Credito 12 Pagos;60000;30;2
221;824;780;Tarjeta Credito 1 Pago;40000;1250;1
222;788;421;Tarjeta Credito 6 Pagos;15000;1564;4
223;131;1348;Tarjeta Credito 1 Pago;60000;706;5
224;530;1068;Tarjeta Debito;25000;964;2
225;1203;564;Tarjeta Credito 1 Pago;75000;1783;3
226;1325;23;Tarjeta Debito;75000;819;4
227;756;1053;Efectivo;60000;863;2
228;1196;21;Tarjeta Debito;60000;704;1
229;794;1373;Tarjeta Credito 1 Pago;60000;117;5
230;1314;176;Tarjeta Credito 1 Pago;75000;203;3
231;279;929;Efectivo;25000;1827;5
232;820;217;Efectivo;15000;1100;4
233;671;1277;Efectivo;40000;390;3
234;975;1169;Tarjeta Credito 6 Pagos;15000;746;1
235;547;84;Tarjeta Credito 1 Pago;75000;1008;5
236;179;172;Tarjeta Credito 6 Pagos;60000;1589;3
237;79;99;Tarjeta Debito;40000;1872;5
238;860;1406;Efectivo;75000;1482;1
239;416;353;Tarjeta Debito;15000;1910;5
240;850;1407;Efectivo;15000;4;4
241;1326;998;Tarjeta Credito 6 Pagos;15000;1691;2
242;911;1156;Tarjeta Credito 12 Pagos;40000;1044;5
243;1193;41;Tarjeta Credito 1 Pago;25000;184;2
244;589;516;Tarjeta Debito;15000;459;5
245;480;541;Tarjeta Credito 6 Pagos;40000;106;2
246;697;191;Efectivo;15000;363;1
247;1204;223;Efectivo;15000;1536;1
248;812;330;Tarjeta Credito 1 Pago;40000;920;1
249;376;724;Efectivo;75000;208;1
250;1107;640;Tarjeta Credito 1 Pago;60000;362;2
251;541;718;Efectivo;40000;192;1
252;1136;156;Tarjeta Credito 6 Pagos;25000;671;2
253;295;452;Efectivo;15000;1625;1
254;144;203;Tarjeta Debito;60000;1505;3
255;94;1307;Tarjeta Credito 6 Pagos;75000;1863;3
256;588;474;Tarjeta Debito;25000;774;4
257;156;341;Tarjeta Debito;25000;1904;5
258;414;820;Tarjeta Credito 1 Pago;75000;737;1
259;1344;282;Tarjeta Credito 6 Pagos;15000;731;1
260;1191;1245;Tarjeta Debito;25000;1291;4
261;529;911;Tarjeta Credito 1 Pago;40000;1357;4
262;177;463;Efectivo;15000;599;2
263;253;1137;Efectivo;25000;1654;2
264;372;890;Efectivo;40000;1365;3
265;1174;204;Efectivo;40000;693;3
266;932;1079;Efectivo;40000;429;1
267;41;1098;Tarjeta Credito 6 Pagos;15000;730;1
268;315;1157;Tarjeta Credito 6 Pagos;25000;573;5
269;101;146;Tarjeta Credito 6 Pagos;15000;334;1
270;1230;1164;Tarjeta Credito 12 Pagos;25000;1572;4
271;997;526;Tarjeta Debito;15000;793;4
272;278;374;Tarjeta Credito 1 Pago;60000;462;4
273;782;1048;Tarjeta Credito 1 Pago;60000;587;1
274;618;562;Tarjeta Credito 12 Pagos;75000;1807;4
275;494;1061;Efectivo;60000;545;1
276;446;662;Tarjeta Credito 6 Pagos;25000;1702;1
277;485;213;Tarjeta Credito 6 Pagos;15000;1058;2
278;1042;798;Efectivo;60000;1642;3
279;136;1193;Tarjeta Debito;60000;977;3
280;699;384;Tarjeta Credito 1 Pago;60000;914;2
281;627;660;Efectivo;60000;1733;2
282;1000;1103;Tarjeta Credito 12 Pagos;75000;222;5
283;1214;1082;Efectivo;15000;259;2
284;1311;515;Tarjeta Credito 12 Pagos;15000;1255;2
285;225;776;Tarjeta Credito 6 Pagos;40000;1698;4
286;602;477;Tarjeta Credito 6 Pagos;40000;253;3
287;991;357;Tarjeta Credito 12 Pagos;40000;330;5
288;886;472;Tarjeta Debito;15000;3;2
289;1358;150;Efectivo;40000;92;4
290;1047;239;Tarjeta Credito 6 Pagos;15000;490;2
291;293;251;Efectivo;60000;1668;2
292;969;1361;Tarjeta Credito 6 Pagos;75000;809;3
293;769;269;Tarjeta Credito 1 Pago;15000;573;5
294;89;1101;Efectivo;15000;385;3
295;499;36;Efectivo;60000;1309;4
296;1268;400;Tarjeta Credito 6 Pagos;25000;1716;2
297;753;451;Tarjeta Credito 12 Pagos;75000;70;1
298;74;851;Tarjeta Credito 12 Pagos;40000;1806;5
299;334;1078;Tarjeta Credito 6 Pagos;40000;899;2
300;136;472;Tarjeta Credito 12 Pagos;60000;1744;3
301;44;744;Tarjeta Credito 1 Pago;60000;1768;4
302;482;1329;Efectivo;60000;1182;1
303;1369;1287;Tarjeta Credito 12 Pagos;40000;789;1
304;1225;705;Tarjeta Credito 6 Pagos;25000;367;2
305;313;443;Tarjeta Credito 6 Pagos;15000;1313;1
306;958;1000;Tarjeta Credito 6 Pagos;75000;1097;2
307;1215;772;Efectivo;40000;1881;5
308;630;1088;Tarjeta Credito 12 Pagos;40000;1023;5
309;502;60;Tarjeta Credito 1 Pago;15000;1058;1
310;6;43;Tarjeta Credito 1 Pago;25000;881;5
311;1034;316;Efectivo;40000;490;3
312;682;902;Tarjeta Credito 12 Pagos;15000;1341;2
313;804;1143;Tarjeta Credito 6 Pagos;25000;662;4
314;519;1308;Tarjeta Credito 12 Pagos;40000;1429;4
315;484;718;Tarjeta Credito 12 Pagos;75000;1039;1
316;969;894;Tarjeta Credito 1 Pago;40000;277;4
317;1003;813;Tarjeta Credito 6 Pagos;75000;421;3
318;55;1005;Tarjeta Credito 6 Pagos;40000;923;4
319;782;1296;Tarjeta Credito 6 Pagos;15000;670;4
320;943;980;Efectivo;40000;1993;4
321;588;176;Tarjeta Credito 6 Pagos;60000;598;2
322;977;424;Efectivo;40000;1060;5
323;1327;315;Efectivo;60000;486;3
324;657;414;Tarjeta Debito;25000;1133;4
325;862;1000;Efectivo;15000;999;3
326;719;821;Tarjeta Credito 1 Pago;25000;1244;5
327;890;356;Efectivo;75000;1105;2
328;622;510;Tarjeta Credito 6 Pagos;40000;1224;2
329;330;1006;Tarjeta Debito;60000;4;3
330;1198;96;Efectivo;60000;1623;5
331;203;1150;Tarjeta Credito 12 Pagos;75000;104;1
332;1202;36;Tarjeta Credito 6 Pagos;40000;586;5
333;1252;987;Tarjeta Credito 1 Pago;75000;1525;3
334;145;373;Tarjeta Credito 6 Pagos;40000;1808;4
335;528;347;Tarjeta Credito 6 Pagos;40000;1447;3
336;1129;799;Efectivo;25000;1512;3
337;571;417;Tarjeta Credito 12 Pagos;60000;965;1
338;979;693;Tarjeta Credito 6 Pagos;40000;67;1
339;480;1244;Efectivo;75000;903;4
340;744;795;Tarjeta Credito 1 Pago;15000;1335;1
341;399;1052;Tarjeta Credito 6 Pagos;40000;198;4
342;593;230;Tarjeta Credito 1 Pago;25000;1887;3
343;53;177;Tarjeta Credito 12 Pagos;60000;566;2
344;575;487;Efectivo;60000;286;3
345;1150;545;Tarjeta Credito 6 Pagos;40000;871;4
346;11;343;Tarjeta Credito 12 Pagos;15000;165;3
347;86;577;Tarjeta Credito 6 Pagos;25000;1287;2
348;90;259;Tarjeta Credito 12 Pagos;75000;69;4
349;749;609;Tarjeta Credito 12 Pagos;60000;1547;3
350;618;75;Tarjeta Credito 12 Pagos;40000;1829;5
351;1088;328;Tarjeta Credito 12 Pagos;25000;799;4
352;288;303;Tarjeta Debito;25000;1754;1
353;279;648;Tarjeta Credito 6 Pagos;75000;818;2
354;699;802;Tarjeta Debito;60000;880;4
355;541;1351;Tarjeta Credito 1 Pago;25000;543;2
356;138;1052;Tarjeta Debito;40000;1005;4
357;185;1318;Tarjeta Credito 1 Pago;75000;766;3
358;763;1283;Tarjeta Credito 1 Pago;25000;864;2
359;634;224;Tarjeta Credito 1 Pago;60000;1290;3
360;1155;775;Tarjeta Debito;75000;52;3
361;139;1027;Tarjeta Credito 12 Pagos;25000;547;4
362;564;1056;Tarjeta Credito 1 Pago;25000;8;4
363;88;1120;Tarjeta Credito 1 Pago;40000;222;4
364;893;364;Tarjeta Credito 1 Pago;75000;280;2
365;419;150;Tarjeta Credito 1 Pago;75000;1702;5
366;513;478;Tarjeta Credito 6 Pagos;40000;1335;4
367;889;1409;Tarjeta Debito;40000;744;3
368;1077;1102;Efectivo;25000;581;4
369;1345;1257;Tarjeta Credito 6 Pagos;40000;1996;4
370;1247;1261;Efectivo;25000;442;3
371;705;883;Efectivo;40000;1280;2
372;1021;132;Efectivo;25000;1099;1
373;679;851;Efectivo;25000;356;2
374;40;499;Tarjeta Credito 6 Pagos;60000;634;4
375;27;1324;Tarjeta Credito 6 Pagos;15000;1193;4
376;1011;1110;Efectivo;25000;279;2
377;1295;1010;Efectivo;25000;1626;2
378;387;279;Tarjeta Credito 6 Pagos;40000;1028;2
379;68;827;Tarjeta Credito 6 Pagos;15000;267;2
380;644;725;Tarjeta Debito;40000;1968;1
381;324;767;Tarjeta Debito;40000;202;2
382;1153;834;Tarjeta Credito 12 Pagos;15000;1479;2
383;1117;321;Tarjeta Credito 12 Pagos;75000;1926;5
384;1165;674;Tarjeta Debito;40000;356;4
385;1292;181;Tarjeta Credito 1 Pago;15000;578;4
386;1045;1128;Tarjeta Credito 12 Pagos;25000;11;1
387;184;1194;Tarjeta Debito;40000;567;3
388;527;292;Tarjeta Credito 1 Pago;15000;1779;5
389;124;1424;Tarjeta Debito;15000;1555;4
390;1195;265;Efectivo;40000;597;2
391;884;221;Tarjeta Debito;40000;674;2
392;641;391;Tarjeta Credito 12 Pagos;25000;392;3
393;109;260;Tarjeta Debito;60000;1705;4
394;161;508;Efectivo;60000;1912;4
395;473;1282;Tarjeta Debito;60000;389;1
396;719;1409;Tarjeta Credito 12 Pagos;15000;1923;4
397;141;543;Efectivo;40000;1818;5
398;1184;938;Tarjeta Debito;60000;1772;5
399;56;241;Tarjeta Credito 12 Pagos;25000;1486;5
400;1274;142;Tarjeta Credito 6 Pagos;60000;1219;1
401;196;895;Tarjeta Debito;25000;1634;5
402;1172;1303;Tarjeta Credito 6 Pagos;75000;880;4
403;1035;936;Tarjeta Debito;25000;1146;3
404;164;886;Tarjeta Credito 1 Pago;40000;718;1
405;1144;48;Efectivo;75000;1323;5
406;51;918;Tarjeta Debito;75000;147;1
407;504;652;Tarjeta Debito;40000;773;5
408;725;582;Tarjeta Debito;25000;761;2
409;1267;108;Tarjeta Credito 12 Pagos;25000;29;3
410;1127;881;Tarjeta Credito 1 Pago;25000;1796;4
411;944;362;Tarjeta Credito 1 Pago;40000;381;4
412;1205;1318;Tarjeta Credito 12 Pagos;40000;1411;4
413;881;187;Tarjeta Credito 12 Pagos;60000;9;3
414;1232;82;Tarjeta Credito 12 Pagos;60000;1338;2
415;1351;1219;Efectivo;15000;247;5
416;1082;175;Tarjeta Credito 6 Pagos;40000;560;4
417;1354;60;Efectivo;25000;995;5
418;1160;322;Tarjeta Debito;60000;1616;3
419;239;286;Tarjeta Debito;75000;425;2
420;767;1332;Tarjeta Credito 12 Pagos;15000;1875;2
421;692;130;Tarjeta Credito 12 Pagos;25000;1960;5
422;1288;926;Tarjeta Credito 12 Pagos;25000;1924;5
423;1345;358;Tarjeta Credito 6 Pagos;25000;748;3
424;384;190;Tarjeta Credito 12 Pagos;75000;1327;3
425;76;1406;Efectivo;75000;1999;2
426;897;327;Tarjeta Debito;40000;998;1
427;816;1079;Tarjeta Credito 12 Pagos;75000;1879;5
428;834;773;Efectivo;75000;1835;1
429;1335;379;Tarjeta Credito 1 Pago;15000;1214;2
430;404;1350;Tarjeta Credito 6 Pagos;60000;1649;5
431;887;1150;Tarjeta Debito;60000;543;3
432;342;203;Efectivo;25000;971;4
433;996;757;Efectivo;75000;1353;2
434;1012;728;Tarjeta Debito;15000;536;4
435;235;681;Tarjeta Debito;60000;689;2
436;948;1178;Tarjeta Credito 6 Pagos;40000;206;4
437;1140;1146;Tarjeta Credito 6 Pagos;15000;1558;5
438;149;140;Efectivo;40000;1692;1
439;16;15;Tarjeta Credito 1 Pago;75000;864;2
440;965;932;Tarjeta Credito 6 Pagos;25000;312;2
441;984;1382;Tarjeta Credito 1 Pago;15000;1908;3
442;1315;230;Tarjeta Credito 1 Pago;15000;1804;5
443;619;1212;Tarjeta Credito 1 Pago;15000;200;3
444;830;183;Tarjeta Debito;40000;1377;3
445;935;222;Tarjeta Debito;25000;793;2
446;1135;1294;Tarjeta Credito 12 Pagos;75000;724;1
447;1018;87;Tarjeta Debito;40000;700;2
448;286;394;Tarjeta Debito;25000;10;3
449;464;176;Tarjeta Credito 1 Pago;40000;1349;5
450;1152;832;Tarjeta Credito 12 Pagos;40000;418;2
451;1216;1102;Efectivo;40000;1741;1
452;392;541;Tarjeta Credito 1 Pago;60000;1684;5
453;1281;1267;Efectivo;60000;843;1
454;666;688;Efectivo;40000;887;4
455;335;331;Tarjeta Credito 6 Pagos;40000;842;1
456;726;1103;Tarjeta Debito;25000;328;1
457;923;1116;Tarjeta Credito 1 Pago;75000;1502;1
458;1085;798;Efectivo;15000;774;1
459;753;1167;Tarjeta Credito 12 Pagos;15000;1982;1
460;114;544;Tarjeta Credito 1 Pago;60000;759;1
461;751;1105;Tarjeta Debito;75000;1470;4
462;681;962;Tarjeta Credito 6 Pagos;25000;1447;4
463;444;1401;Tarjeta Credito 12 Pagos;60000;1099;4
464;422;427;Tarjeta Credito 6 Pagos;25000;505;5
465;187;955;Tarjeta Credito 12 Pagos;25000;148;1
466;806;469;Tarjeta Credito 1 Pago;60000;769;5
467;482;294;Efectivo;15000;729;3
468;1394;1202;Tarjeta Credito 12 Pagos;60000;963;3
469;662;552;Tarjeta Debito;60000;693;1
470;452;55;Tarjeta Debito;25000;115;1
471;59;640;Tarjeta Credito 1 Pago;15000;1671;5
472;536;93;Efectivo;15000;1847;5
473;1391;726;Tarjeta Credito 6 Pagos;60000;899;4
474;785;629;Tarjeta Credito 6 Pagos;75000;587;5
475;1418;33;Tarjeta Credito 12 Pagos;40000;988;4
476;513;82;Tarjeta Credito 6 Pagos;75000;320;1
477;58;33;Tarjeta Credito 1 Pago;15000;1177;2
478;689;390;Tarjeta Debito;15000;321;2
479;606;276;Tarjeta Credito 1 Pago;15000;51;4
480;113;169;Tarjeta Credito 6 Pagos;40000;1137;4
481;1185;532;Tarjeta Credito 1 Pago;25000;45;2
482;736;1260;Tarjeta Credito 6 Pagos;60000;505;1
483;1376;63;Tarjeta Debito;75000;1923;3
484;765;1239;Tarjeta Credito 12 Pagos;25000;593;5
485;1059;1347;Tarjeta Credito 12 Pagos;25000;1400;3
486;1142;469;Tarjeta Debito;25000;1719;4
487;88;180;Tarjeta Debito;60000;656;5
488;1039;904;Tarjeta Debito;25000;183;3
489;889;504;Efectivo;75000;1410;3
490;94;21;Efectivo;60000;1838;3
491;1165;198;Tarjeta Credito 12 Pagos;25000;1834;1
492;1050;680;Efectivo;15000;766;4
493;904;1228;Tarjeta Debito;40000;745;4
494;87;254;Tarjeta Credito 6 Pagos;40000;1756;4
495;494;412;Tarjeta Credito 12 Pagos;75000;1498;1
496;968;1176;Tarjeta Debito;60000;1178;1
497;1168;706;Efectivo;25000;1988;1
498;1407;1018;Tarjeta Credito 6 Pagos;25000;1574;2
499;630;511;Efectivo;15000;991;4
500;819;1123;Tarjeta Credito 6 Pagos;15000;1972;4
501;44;706;Efectivo;75000;1848;5
502;87;1273;Efectivo;75000;1300;3
503;1425;375;Tarjeta Debito;15000;1461;1
504;1043;1188;Tarjeta Credito 6 Pagos;15000;831;2
505;188;976;Tarjeta Credito 12 Pagos;60000;1333;3
506;752;318;Tarjeta Credito 6 Pagos;75000;219;2
507;1365;950;Tarjeta Credito 12 Pagos;75000;412;1
508;977;1008;Efectivo;40000;586;5
509;397;1367;Tarjeta Debito;75000;1331;4
510;999;1111;Efectivo;25000;207;2
511;619;1047;Tarjeta Credito 1 Pago;25000;1568;3
